,sentence_input,sentence_ouput
510,"It can also be used to protect locations that can be attractive for terrorists to strike, like power plants and tourist sites such as New York's Times Square.",be protect be strike power tourist 
511,Deploy Thermacell tech and a secret weapon based on a colorful flower to create a safe zone.,tech weapon flower create zone 
512,"But if you're looking to attract the opposite sex, knowing the right way to flirt can mean the difference between creeping out that special someone and actually landing a date with him or her.",attract sex way flirt mean difference someone date 
513,"It is also important to prevent adversaries from capturing American tech, reverse engineering it, and using it against the U.S and its allies.",prevent tech reverse engineering 
514,An operator can jump the dog in to join the team using this parachute.,operator jump dog join team parachute 
515,"As tech evolves during the sub's time in service, Australia can use the hatches to add the latest tech and upgrade the sub's capabilities.",sub time service use add tech upgrade sub 
516,"The smooth, highly responsive electronic power steering can help reduce fatigue for operators that have to drive for very long periods.",power steering help reduce fatigue drive 
517,"He tried to contact his spacewalking partner, American Christopher Cassidy, and Mission Control.",contact partner 
518,"The U.S. military believes it could possibly carry teams rapidly and nimbly throughout the battlespace, and a robotic version could even be used to deliver supplies by itself.",carry battlespace version be deliver 
519,"While engaging an adversary, the Poseidon can also relay critical data across the military network.",adversary relay network 
520,"But what's unusual is if you look closely, you'll notice it builds on a previous post promoting the morning sickness drug Diclegis.",notice post morning drug 
521,Snoop Dogg uses a toy gun to shoot a clown resembling President Donald Trump in a new music video.,toy gun shoot resembling music video 
522,"Under direction and funding from the Office of Naval Research, Naval Research Laboratory researchers have been working with university researchers to develop the tech.",direction funding university develop tech 
523,"Do it at least once a day for a few minutes at a pop, but ideally twice, she adds.",Do day pop 
524,"At these heights, the new drone can very easily evade tough weather conditions, jet stream winds, and air traffic while also reducing risk of detection and maximizing the ability to surveil great swathes of enemy activity on the ground.",drone evade weather jet stream air traffic risk detection ability surveil enemy activity ground 
525,Stalker uses its state-of-the-art military tech to flag and precisely locate a fire.,tech flag locate fire 
526,"Lettuce celebrate our love at the Taco Bell Chapel in Vegas, cuz we are ready to guac and roll.",celebrate love cuz guac roll 
527,"Dr. Kushnir, who was involved in clinical trials of the Obalon intragastric balloon (the swallowable pill form, recently approved by the FDA), says it's typical for patients to lose 25 percent of their excess weight.",balloon swallowable pill form lose percent weight 
528,"The radio can transmit simultaneous video, voice and data.",radio transmit video voice 
529,It's time to spill the beans.,time spill 
530,"Let's do something else instead,'"" Zarrinpar said.",Let do something 
531,"Meanwhile during orgasm, pent-up muscular stress in men and women gets released, which may lead men and women to drift into a relaxing state.",orgasm stress lead drift state 
532,She underwent the procedure to get rid of the excess skin on her body and complete her weight loss transformation.,procedure get skin body loss transformation 
533,"Here's the right way to do it: Starting at the back of the tongue, gently brush toward the front, then go side-to-side.",way do back tongue front go 
534,"Sweet potatoes Vitamin E is a powerful antioxidant that helps protect our eyes from free radicals, which break down healthy tissues, Thau said.",antioxidant protect 
535,"Plus, like turmeric, cinnamon can warm your body to boost your metabolism.",turmeric cinnamon warm body boost metabolism 
536,"Topical solutions and foam Physicians can prescribe a topical solution or foam such as minoxidil, Dr. Shapiro said, which is applied directly to the scalp.",prescribe solution foam minoxidil scalp 
537,"Once testing is completed, the company plans to submit the prototype for certification with aviation authorities for use in civilian airspace.",testing company submit prototype certification aviation use airspace 
538,At those heights you can see the curvature of the earth.,see curvature earth 
539,"On Jan. 26, the chain says it will finally release its chicken-shelled taco nationwide.",chain release taco nationwide 
540,Technology innovation has long been underway to give fighter pilots this sort of capability.,Technology innovation give fighter sort capability 
541,"However, even healthy women can experience thyroid hormone dips that cause your metabolism to stall.",experience hormone metabolism stall 
542,"If someone gets a hold of it, you can make it self-destruct or even vanish.",someone hold make self-destruct 
543,You will be asked to stand in front of the mammography machine and place your breast on a small platform.,be stand front mammography machine place breast platform 
544,The high level of autonomy also means that learning to ride it should be relatively easy.,level autonomy ride be 
545,"We don't eat tapeworms or use vibrating belts anymore, but here are five crazy things some guys try.",eat use 
546,Spending just two or three hours in bright sunlight can hamper the eyes' ability to adapt quickly to nighttime or indoor light levels.,sunlight hamper ability adapt nighttime indoor 
547,Work is underway around the world to create technology that can destroy things if they fall into the wrong hands.,Work world create technology destroy 
548,China asserted the Poseidon Singapore deployment was intended to militarize the region in a statement issued Tuesday.,deployment militarize region statement 
549,It has four standard helicopter-style shrouded rotors and they overlap with each other and help provide stability.,helicopter-style help provide stability 
550,Its ripper can tear up roads or runways.,ripper tear 
551,It can also conduct air-to-ground strikes.,conduct 
552,In times of trouble.. you'll find the gaines family at church.,trouble.. find family church 
553,"Throughout Kellisa's life, the Kains have gone through five different jog strollers, not counting the device they use now and that they ordered from France.",life jog device 
554,"Like tractors found all throughout the United States, Terrier can lift, grab and move things.",lift grab move 
555,How to enjoy: Try mixing your favorite gamey meat with a complex carb like brown rice to help better ferry tryptophan to the brain.,enjoy Try gamey meat carb rice help ferry tryptophan brain 
556,Early detection is critical to prevent someone detonating a dirty bomb or nuclear device.,detection prevent someone bomb device 
557,"In addition, the sub will carry eight Oniks and Kalibr cruise missiles.",addition sub carry cruise 
558,It fits in seamlessly to a work environment but also is fit for purpose to carry bare necessities in a crisis.,work environment purpose carry crisis 
559,This sort of data can help law enforcement respond more effectively and reduce the risk to the officers responding.,sort help law enforcement respond reduce risk 
560,The U.S. military also plans to base another military reconnaissance plane at Singapore's Paya Lebar air base.,base reconnaissance plane air base 
561,"Unfortunately, a ringing cellphone doesn't say anything about the party on the other end, explained Jeff Kagan, a well-known cellular industry analyst.",cellphone say anything party end industry analyst 
562,"Great exercises can include push-ups, yoga and Pilates, Blake said.",include yoga 
563,"You may think slashing calories will help keep your weight down, but that's not the case, Blake said.",think help keep weight case 
564,"They reduce light intensity without altering the color of objects, providing the most natural color vision.",reduce intensity color color vision 
565,"The concussion detection software is an app on a mobile device, and will notify trainers if a football player has been hit at a dangerous level.",concussion detection software app device notify football player level 
566,"Even in highly-advanced, highly-automated aircraft, pilots must manage a high volume of emerging data, handle complex tasks and rapidly respond to any emergency that might arise.",aircraft manage volume handle respond emergency arise 
567,You have a chance to get your budget on track.,chance get budget track 
568,"Before undergoing this type of therapy, patients are advised to go on a low iodine diet to ultimately starve their body of iodine, an element that is essential for the production of thyroid hormone.",type therapy go iodine diet starve body iodine element production hormone 
569,One strange bit of evidence that turned up almost immediately sticks out: claims by relatives that they were able to place calls to the cell phones of loved ones and even reach the voicemail in-boxes of the missing.,bit evidence place cell reach missing 
570,It's so precise it can target a specific location on a drone.,target location drone 
571,The company declined to comment more Tuesday.,company comment 
572,"The backpack has smart padding to protect a laptop, but it can also fit back up clothes, water and other immediate essentials to carry you out of a threat zone.",backpack protect fit water carry threat zone 
573,"One solution could be a sort of shape-shifting armor that automatically repositions itself to fortify against, and defeat, an incoming threat.",solution be sort armor fortify defeat incoming threat 
574,"But serious bacterial infections following dental procedures are rare, and the vast majority of people don't need to take antibiotics or take any other precautions prior to dental procedures, he said.",majority need take take 
575,The heat from such an engine would be a signature adversaries would try to identify.,heat engine be signature try identify 
576,A Swedish politician has proposed what may be the most unique benefit heard of after he argued workers should be allotted a paid hour-long break so they could have sex with their partners.,politician be benefit heard be break have sex 
577,"In tests conducted by the development team, the foam body armor was able to defeat an armor-piercing bullet.",development team foam body armor defeat bullet 
578,He added that the pressures of the insurance market and lower reimbursement to physicians has led to many unqualified people to perform plastic surgery and receive the out-of-pocket costs for it.,insurance market reimbursement perform plastic surgery receive out-of-pocket 
579,But this is a pen that could save your life.,pen save life 
580,"Dr. Robert Delarosa, president of the American Academy of Pediatric Dentistry, told the news website that he advises dentists to avoid anesthesia whenever possible, but some instances call for the treatment.",president news website avoid anesthesia treatment 
581,"And if the armor surface is damaged, warfighters could fix it on the fly with something as simple as a hot plate and the armor will meld itself back together.",armor surface fix fly something plate armor meld 
582,"Next time your brain needs a challenge, skip the Sudoku and grab some wine.",time brain challenge grab wine 
583,"Developers say the drone can either be flown autonomously or by up to two individuals, and the net is cast quick enough so that even the fastest and most nimble drones can't outrun it.",drone be outrun 
584,"A review of scientific literature published in the medical journal Neuron found adults begin to lose their ability to lapse into deep, restorative sleep from about their mid-30s.",review literature journal lose ability lapse sleep mid-30s 
585,All models are designed to provide enhanced landing performance during the flare maneuver.,provide performance maneuver 
586,"However, the downside is that this method can cause serious pain, bruising and scarring around the mouth, as evidenced by images popping up on social media.",downside method cause pain bruising mouth 
587,"For a reduced acoustic signature, it's been designed to minimize propeller tip noise from the shrouded fans.",signature minimize propeller tip noise 
588,"In war zones, these systems pinpoint the location of a hidden sniper, using the sound of the gunshot.",war location sniper sound gunshot 
589,"Taking birth control pills or hormone replacement therapy, not breast-feeding after having a child, having two to five alcoholic drinks a day, being overweight, and not exercising all increase the risk for breast cancer.",birth control replacement therapy breast-feeding child day increase risk breast cancer 
590,"That's because, if the injection gets inflected or inflamed, it can cause a lot of complications.",injection cause lot 
591,"The foam shielding could provide a lightweight, strong alternative for the military.",foam shielding provide lightweight alternative military 
592,"The Office of Naval Research announced last week that it is building a laser weapon that will be able to shoot down aerial drones, spelling big trouble for any enemy who tries to target the U.S. Marines.",week laser weapon be shoot trouble enemy target 
593,"Nearly three years later, she can only speak a few words and is only able to stand for a few seconds.",speak stand 
594,"Cutting calories is important, and cutting fat is an easy way to cut calories, but according to this study, maintaining the right levels of healthy fats is important, she said.",fat way cut study 
595,"Since iodine deficiency can cause your thyroid to malfunction, try to eat more iodine-rich seafood, such as cod, tuna, and shrimp.",deficiency cause thyroid malfunction try eat seafood cod tuna shrimp 
596,"Doctors didn't expect Kellisa would survive long after birth, but when she did, Chris promised her that despite any potential health complications in the future, he'd make sure she lived the most normal life possible.",expect survive birth health future make life 
597,"The light shines in the darkness, and the darkness has not overcome it.",darkness darkness 
598,Last year Boeing demonstrated a laser cannon that could be used to destroy drones.,year laser cannon be destroy 
599,"This type grows in C cells, so-called because they normally produce calcitonin, a hormone involved in calcium metabolism.",type calcitonin hormone calcium metabolism 
600,This sort of tech can save lives of victims and potential future victims by accelerating the speed of first responders.,sort tech save future speed 
601,"This week, the U.S. Navy awarded a $1 billion contract to Raytheon to build the Next Generation Jammer (NGJ).",week contract build 
602,Warfighters can deploy the Zephyr to provide persistent eyes in the sky to track enemy movements.,deploy provide sky track enemy 
603,"Hutchison will manage Stodden's career, and they will continue to live in the same house.",manage career continue live house 
604,"Consider these conditions, from the gross and embarrassing to the potentially life threatening.",Consider life threatening 
605,"Fox News spoke to Dr. Andrea Thau, president of the American Optometric Association, and Lauren Blake, a dietitian at The Ohio State University Wexner Medical Center, to get their tips on the best foods to eat for optimum eye health:
1.",president dietitian get eat eye health 
606,"And it may even be able to just avoid detection automatically, like on an autopilot.",be avoid detection autopilot 
607,Future versions could involve a larger platform with more payload capacity.,involve platform capacity 
608,It can be a cherry on top of all the other amazing benefits.,be cherry top 
609,"Injections of silicone oil Despite the fact that the Food and Drug Administration approves these injections for old acne scars, Dr. Manish Shah  a board-certified, Denver-based plastic surgeon  noted that most plastic surgeons do not recommend this procedure.",silicone oil fact acne plastic surgeon recommend procedure 
610,"What's more, low levels of testosterone promote insulin resistance, encouraging your body to store calories as fat, said Pat Gilles, C.S.C.S., a Wisconsin-based trainer.",testosterone promote insulin resistance body store fat trainer 
611,"In this exercise, the Marines have been integrating the tech, such as robots, to explore how they can provide advantages in future wars.",exercise tech explore provide 
612,"The device might help men modify their behavior, Dr. Ren-Fielding says.",device help modify behavior 
613,"People on the Mediterranean diet tended to lose more weight than those on the low-fat diet, which may be because the Mediterranean diet is easier to stick to, Olansky said.",diet lose weight diet be diet stick 
614,That'll flush out the extra sugar that's hanging out there hoping to feed the bacteria later.,flush sugar feed bacteria 
615,You can reach her at wargames@foxnews.com or follow her on Twitter @Allison_Barrie.,reach foxnews.com follow 
616,Every effort is being made to prevent breast cancer.,effort prevent breast cancer 
617,Preventing detection enables effective strikes and helps keep American fighters safe.,detection keep 
618,Some options under consideration maximize the element of surprise.,consideration maximize element surprise 
619,The drone's camera could provide real-time video and reveal adversary activities and movements.,drone camera provide video 
620,"The most important thing a woman can do to minimize her chances of getting breast cancer is to have regular mammograms, to learn how to perform breast self-examination, to actually perform the breast self-examinations, and to undergo regular physicals.",thing woman do minimize breast cancer have learn perform breast self-examination perform breast undergo 
621,"I would love to sign her to a contract and now that she's going to be single, maybe she'd be interested.",love sign contract be be 
622,"From William the Conqueror, who tried a liquid diet after he became too heavy to ride his horse, to Lord Byron, who exercised in layers to sweat off pounds, men have always been drawn to radical slimdown schemes.",liquid diet ride horse sweat 
623,The U.S. military is developing laser weapons to smite you.,smite 
624,"Deprived may come across as extra flirty, and make unwelcomed sexual jokes and comments.",come flirty make 
625,"So yeah, you might owe them an apology.",owe apology 
626,"The truth is, there are a ton of ways that sex and masturbation can boost your physical and mental well-being.",truth ton sex masturbation boost well-being 
